playlist_id,total_16,growth_17,growth_18,growth_19,growth_20,total_18,total_19,total_20,was_suspicious,reason
815,0,0,0,0,0,0,0,0,no,
816,0,0,0,0,0,0,0,0,no,
814,0,0,0,0,0,0,0,0,no,
652,1,0,0,0,0,1,1,1,no,
649,1,0,0,0,0,1,1,1,no,
654,0,0,0,0,0,0,0,0,no,
651,0,0,0,0,0,0,0,0,no,
631,0,0,0,0,0,0,0,0,no,
630,0,0,0,0,0,0,0,0,no,
629,0,0,0,0,0,0,0,0,no,
628,0,0,0,0,0,0,0,0,no,
627,0,0,0,0,0,0,0,0,no,
626,0,0,0,0,0,0,0,0,no,
625,0,0,0,0,0,0,0,0,no,
624,0,0,0,0,0,0,0,0,no,
623,0,0,0,0,0,0,0,0,no,
622,0,0,0,0,0,0,0,0,no,
621,0,0,0,0,0,0,0,0,no,
620,0,0,0,0,0,0,0,0,no,
619,0,0,0,0,0,0,0,0,no,
618,0,0,0,0,0,0,0,0,no,
617,0,0,0,0,0,0,0,0,no,
616,0,0,0,0,0,0,0,0,no,
615,0,0,0,0,0,0,0,0,no,
614,0,0,0,0,0,0,0,0,no,
613,0,0,0,0,0,0,0,0,no,
612,0,0,0,0,0,0,0,0,no,
611,0,0,0,0,0,0,0,0,no,
610,0,0,0,0,0,0,0,0,no,
608,0,0,0,0,0,0,0,0,no,
609,0,0,0,0,0,0,0,0,no,
607,0,0,0,0,0,0,0,0,no,
606,0,0,0,0,0,0,0,0,no,
605,0,0,0,0,0,0,0,0,no,
604,0,0,0,0,0,0,0,0,no,
603,0,0,0,0,0,0,0,0,no,
602,0,0,0,0,0,0,0,0,no,
601,0,0,0,0,0,0,0,0,no,
600,0,0,0,0,0,0,0,0,no,
599,0,0,0,0,0,0,0,0,no,
598,0,0,0,0,0,0,0,0,no,
597,0,0,0,0,0,0,0,0,no,
596,0,0,0,0,0,0,0,0,no,
595,0,0,0,0,0,0,0,0,no,
594,0,0,0,0,0,0,0,0,no,
487,4,0,0,0,0,4,4,4,no,
488,4,0,0,0,0,4,4,4,no,
490,4,0,0,0,0,4,4,4,no,
491,4,0,0,0,0,4,4,4,no,
493,3,0,0,0,0,3,3,3,no,
495,3,0,0,0,0,3,3,3,no,
496,4,0,0,0,0,4,4,4,no,
1,16,0,0,0,0,16,16,16,no,
2,22,0,0,0,0,22,22,22,no,
3,21,0,0,0,0,21,21,21,no,
4,34,0,0,0,0,34,34,34,no,
